idmun,ano,esf
110004,2005,1
110005,2005,1
110008,2005,1
110009,2005,1
110010,2005,1
110011,2005,1
110012,2005,1
110014,2005,1
110015,2005,1
110020,2005,1
110025,2005,1
110028,2005,1
110029,2005,1
110030,2005,1
110033,2005,1
120005,2005,1
120020,2005,1
120030,2005,1
120034,2005,1
120040,2005,1
120045,2005,1
120050,2005,1
120060,2005,1
130002,2005,1
130006,2005,0
130008,2005,0
130010,2005,1
130014,2005,1
130020,2005,1
130030,2005,1
130040,2005,1
130050,2005,1
130060,2005,1
130063,2005,0
130068,2005,1
130070,2005,1
130080,2005,1
130083,2005,1
130090,2005,1
130100,2005,0
130110,2005,1
130115,2005,1
130120,2005,1
130130,2005,0
130140,2005,1
130150,2005,1
130160,2005,1
130165,2005,1
130170,2005,1
130180,2005,1
130185,2005,1
130190,2005,1
130195,2005,1
130200,2005,1
130210,2005,1
130220,2005,1
130230,2005,0
130240,2005,1
130250,2005,1
130255,2005,1
130260,2005,1
130270,2005,1
130280,2005,1
130290,2005,1
130300,2005,1
130310,2005,1
130320,2005,0
130330,2005,1
130340,2005,1
130350,2005,1
130353,2005,1
130356,2005,1
130360,2005,1
130370,2005,0
130380,2005,1
130390,2005,0
130395,2005,1
130400,2005,1
130406,2005,1
130410,2005,1
130420,2005,1
130423,2005,1
130426,2005,1
130430,2005,1
130440,2005,1
140005,2005,1
140010,2005,1
140020,2005,1
140060,2005,1
150010,2005,1
150020,2005,1
150030,2005,0
150040,2005,0
150050,2005,1
150060,2005,1
150070,2005,0
150080,2005,1
150090,2005,1
150100,2005,0
150110,2005,0
150120,2005,0
150130,2005,1
150140,2005,1
150150,2005,1
150157,2005,1
150160,2005,1
150170,2005,1
150175,2005,1
150180,2005,1
150190,2005,1
150200,2005,0
150210,2005,1
150220,2005,1
150230,2005,1
150240,2005,1
150250,2005,0
150260,2005,1
150270,2005,1
150275,2005,1
150277,2005,0
150280,2005,0
150290,2005,1
150293,2005,1
150307,2005,0
150310,2005,0
150320,2005,1
150330,2005,1
150340,2005,1
150350,2005,0
150360,2005,1
150390,2005,1
150400,2005,1
150405,2005,1
150410,2005,1
150420,2005,1
150430,2005,1
150440,2005,1
150450,2005,1
150460,2005,1
150480,2005,1
150490,2005,1
150500,2005,0
150510,2005,0
150520,2005,1
150530,2005,1
150540,2005,1
150543,2005,1
150550,2005,1
150553,2005,1
150560,2005,1
150570,2005,1
150580,2005,1
150600,2005,1
150610,2005,1
150613,2005,1
150616,2005,1
150619,2005,1
150620,2005,1
150630,2005,1
150640,2005,0
150650,2005,1
150658,2005,0
150660,2005,1
150670,2005,1
150680,2005,1
150690,2005,1
150700,2005,1
150710,2005,1
150720,2005,1
