idmun,ano,esf
120040,2004,1
120040,2005,1
120040,2006,1
120040,2007,1
120040,2008,1
120040,2009,1
120040,2010,1
120040,2011,1
120040,2012,1
120040,2013,1
120040,2014,1
120040,2015,1
120045,1998,0
120045,1999,1
120045,2000,1
120045,2001,1
120045,2002,1
120045,2003,1
120045,2004,1
120045,2005,1
120045,2006,1
120045,2007,1
120045,2008,1
120045,2009,1
120045,2010,1
120045,2011,1
120045,2012,1
120045,2013,1
120045,2014,1
120045,2015,1
120050,1998,0
120050,1999,1
120050,2000,1
120050,2001,1
120050,2002,1
120050,2003,1
120050,2004,1
120050,2005,1
120050,2006,1
120050,2007,1
120050,2008,1
120050,2009,1
120050,2010,1
120050,2011,1
120050,2012,1
120050,2013,1
120050,2014,1
120050,2015,1
120060,1998,0
120060,1999,0
120060,2000,1
120060,2001,1
120060,2002,1
120060,2003,1
120060,2004,1
120060,2005,1
120060,2006,1
120060,2007,1
120060,2008,1
120060,2009,1
120060,2010,1
120060,2011,1
120060,2012,1
120060,2013,1
120060,2014,1
120060,2015,1
130002,1998,0
130002,1999,0
130002,2000,0
130002,2001,0
130002,2002,0
130002,2003,0
130002,2004,1
130002,2005,1
130002,2006,1
130002,2007,1
130002,2008,1
130002,2009,1
130002,2010,1
130002,2011,1
130002,2012,1
130002,2013,1
130002,2014,1
130002,2015,1
130006,1998,0
130006,1999,0
130006,2000,0
130006,2001,0
130006,2002,0
130006,2003,0
130006,2004,0
130006,2005,0
130006,2006,0
130006,2007,0
130006,2008,0
130006,2009,1
130006,2010,1
130006,2011,1
130006,2012,1
130006,2013,1
130006,2014,1
130006,2015,1
130008,1998,0
130008,1999,0
130008,2000,0
130008,2001,1
130008,2002,0
130008,2003,0
130008,2004,0
130008,2005,0
130008,2006,1
130008,2007,1
130008,2008,1
130008,2009,1
130008,2010,1
130008,2011,1
130008,2012,1
130008,2013,1
130008,2014,1
130008,2015,1
130010,1998,0
130010,1999,0
130010,2000,1
130010,2001,1
130010,2002,1
130010,2003,1
130010,2004,1
130010,2005,1
130010,2006,1
130010,2007,1
130010,2008,1
130010,2009,1
130010,2010,1
130010,2011,1
130010,2012,1
130010,2013,1
130010,2014,1
130010,2015,1
130014,1998,0
130014,1999,0
130014,2000,0
130014,2001,0
130014,2002,0
130014,2003,0
130014,2004,1
130014,2005,1
130014,2006,1
130014,2007,1
130014,2008,1
130014,2009,1
130014,2010,1
130014,2011,1
130014,2012,1
130014,2013,1
130014,2014,1
130014,2015,1
130020,1998,0
130020,1999,0
130020,2000,1
130020,2001,1
130020,2002,1
130020,2003,1
130020,2004,1
130020,2005,1
130020,2006,1
130020,2007,1
130020,2008,1
130020,2009,1
130020,2010,1
130020,2011,1
130020,2012,1
130020,2013,1
130020,2014,1
130020,2015,1
130030,1998,0
130030,1999,0
130030,2000,0
130030,2001,1
130030,2002,1
130030,2003,1
130030,2004,1
130030,2005,1
130030,2006,1
130030,2007,1
130030,2008,1
130030,2009,1
130030,2010,1
130030,2011,1
130030,2012,1
130030,2013,1
130030,2014,1
130030,2015,1
130040,1998,0
130040,1999,0
130040,2000,1
130040,2001,1
130040,2002,1
130040,2003,1
130040,2004,1
130040,2005,1
130040,2006,1
130040,2007,1
130040,2008,1
130040,2009,1
130040,2010,1
130040,2011,1
130040,2012,1
130040,2013,1
130040,2014,1
130040,2015,1
130050,1998,0
130050,1999,1
130050,2000,1
130050,2001,1
130050,2002,1
130050,2003,1
130050,2004,1
130050,2005,1
130050,2006,1
130050,2007,1
130050,2008,1
130050,2009,1
130050,2010,1
130050,2011,1
130050,2012,1
130050,2013,1
130050,2014,1
130050,2015,1
130060,1998,0
130060,1999,1
130060,2000,1
130060,2001,1
130060,2002,1
130060,2003,0
130060,2004,1
130060,2005,1
130060,2006,1
130060,2007,1
130060,2008,1
130060,2009,1
130060,2010,1
130060,2011,1
130060,2012,1
130060,2013,1
130060,2014,1
130060,2015,1
130063,1998,0
130063,1999,0
130063,2000,0
130063,2001,0
130063,2002,0
130063,2003,0
130063,2004,0
130063,2005,0
130063,2006,0
130063,2007,1
130063,2008,1
130063,2009,1
130063,2010,1
130063,2011,1
130063,2012,1
130063,2013,1
130063,2014,1
130063,2015,1
130068,1998,0
130068,1999,0
130068,2000,0
130068,2001,1
130068,2002,1
130068,2003,1
130068,2004,1
130068,2005,1
130068,2006,1
130068,2007,1
130068,2008,1
130068,2009,1
130068,2010,1
130068,2011,1
130068,2012,1
130068,2013,1
130068,2014,1
130068,2015,1
130070,1998,0
130070,1999,1
130070,2000,1
130070,2001,1
130070,2002,1
130070,2003,1
130070,2004,1
130070,2005,1
130070,2006,1
130070,2007,1
130070,2008,1
130070,2009,1
130070,2010,1
130070,2011,1
130070,2012,1
130070,2013,1
