idmun,ano,anocenso,nv,matricula,uf
110004,2000,2010,1789.7572021484375,1857,11
110005,2000,2010,1294.9820556640625,991,11
110008,2000,2010,1080.936767578125,1122,11
110009,2000,2010,534.63446044921875,538,11
110010,2000,2010,879.495849609375,1076,11
110011,2000,2010,1567.8514404296875,1721,11
110012,2000,2010,2299.295166015625,2518,11
110014,2000,2010,474.1735534667969,499,11
110015,2000,2010,1917.9888916015625,2385,11
110020,2000,2010,11862.640625,11614,11
110025,2000,2010,429.1840515136719,497,11
110028,2000,2010,1175.22998046875,1452,11
110029,2000,2010,190.1606903076172,234,11
110030,2000,2010,2644.31787109375,2935,11
110033,2000,2010,293.395751953125,234,11
120005,2000,2010,144.58119201660156,167,12
120020,2000,2010,3280.955810546875,3950,12
120030,2000,2010,498.500732421875,949,12
120034,2000,2010,165.8411865234375,366,12
120040,2000,2010,9155.3017578125,9038,12
120045,2000,2010,799.438720703125,789,12
120050,2000,2010,834.47625732421875,1075,12
120060,2000,2010,668.5841064453125,1349,12
130002,2000,2010,272.6950378417969,455,13
130006,2000,2010,111.85256958007812,257,13
130008,2000,2010,204.26339721679688,167,13
130010,2000,2010,271.8086242675781,312,13
130014,2000,2010,256.5752258300781,261,13
130020,2000,2010,209.7445831298828,599,13
130030,2000,2010,649.39324951171875,792,13
130040,2000,2010,281.9798583984375,409,13
130050,2000,2010,458.60272216796875,935,13
130060,2000,2010,579.6026611328125,833,13
130063,2000,2010,276.469970703125,455,13
130068,2000,2010,436.5630187988281,426,13
130070,2000,2010,557.53192138671875,735,13
130080,2000,2010,567.85711669921875,1008,13
130083,2000,2010,118.77848815917969,163,13
130090,2000,2010,165.32212829589844,225,13
130100,2000,2010,449.5164489746094,766,13
130110,2000,2010,281.8857727050781,554,13
130115,2000,2010,171.0620574951172,282,13
130120,2000,2010,1710.71533203125,1877,13
130130,2000,2010,384.46978759765625,537,13
130140,2000,2010,676.8394775390625,842,13
130150,2000,2010,357.6943054199219,433,13
130160,2000,2010,492.02838134765625,603,13
130165,2000,2010,287.7879333496094,221,13
130170,2000,2010,1073.1412353515625,1214,13
130180,2000,2010,351.5705871582031,485,13
130185,2000,2010,544.77508544921875,459,13
130190,2000,2010,1968.92919921875,2165,13
130195,2000,2010,151.2454833984375,288,13
130200,2000,2010,195.98329162597656,234,13
130210,2000,2010,77.94825744628906,129,13
130220,2000,2010,105.54216766357422,244,13
130230,2000,2010,300.1716003417969,625,13
130240,2000,2010,587.831298828125,975,13
130250,2000,2010,2294.236328125,2367,13
130255,2000,2010,180.56307983398438,299,13
130260,2000,2010,37206.4921875,31725,13
130270,2000,2010,704.35125732421875,1043,13
130280,2000,2010,219.74398803710938,508,13
130290,2000,2010,1117.2789306640625,1527,13
130300,2000,2010,346.7660827636719,432,13
130310,2000,2010,540.58154296875,642,13
130320,2000,2010,251.6798095703125,251,13
130330,2000,2010,334.26385498046875,465,13
130340,2000,2010,2381.22900390625,2725,13
130350,2000,2010,240.27609252929688,423,13
130353,2000,2010,399.90142822265625,365,13
130356,2000,2010,202.89126586914062,184,13
130360,2000,2010,226.78591918945312,255,13
130370,2000,2010,330.2731628417969,569,13
130380,2000,2010,1029.9508056640625,1178,13
130390,2000,2010,343.89678955078125,892,13
130395,2000,2010,158.20986938476562,170,13
130400,2000,2010,184.15676879882812,212,13
130406,2000,2010,1039.4771728515625,1386,13
130410,2000,2010,414.7534484863281,565,13
130420,2000,2010,1688.7510986328125,1968,13
130423,2000,2010,273.84002685546875,366,13
130426,2000,2010,272.5025329589844,299,13
130430,2000,2010,331.54461669921875,390,13
130440,2000,2010,317.21466064453125,375,13
140005,2000,2010,402.62396240234375,181,14
140010,2000,2010,6895.517578125,7218,14
140020,2000,2010,1248.3394775390625,788,14
140060,2000,2010,715.01959228515625,458,14
150010,2000,2010,2903.381591796875,3556,15
150020,2000,2010,693.8037109375,1333,15
150030,2000,2010,668.7633056640625,1345,15
150040,2000,2010,1716.76806640625,1771,15
150050,2000,2010,829.85107421875,1819,15
150060,2000,2010,13247.06640625,16201,15
150070,2000,2010,361.410400390625,761,15
150080,2000,2010,10575.017578125,4832,15
150090,2000,2010,763.4949951171875,926,15
150100,2000,2010,267.29925537109375,265,15
150110,2000,2010,302.6678466796875,484,15
150120,2000,2010,360.17205810546875,537,15
150130,2000,2010,1605.4261474609375,1266,15
150140,2000,2010,26433.9765625,24495,15
150150,2000,2010,2748.876953125,2127,15
150157,2000,2010,327.6770324707031,238,15
150160,2000,2010,172.82003784179688,157,15
150170,2000,2010,2804.571044921875,3224,15
150175,2000,2010,348.7320556640625,306,15
150180,2000,2010,1793.513671875,3537,15
150190,2000,2010,419.23321533203125,702,15
150200,2000,2010,175.11526489257812,434,15
150210,2000,2010,2559.424072265625,4031,15
150220,2000,2010,1286.6585693359375,2098,15
150230,2000,2010,835.736572265625,1365,15
150240,2000,2010,3382.416259765625,3628,15
150250,2000,2010,128.76614379882812,819,15
150260,2000,2010,176.24742126464844,154,15
150270,2000,2010,1374.5406494140625,1231,15
150275,2000,2010,351.74029541015625,963,15
150277,2000,2010,1076.4556884765625,748,15
150280,2000,2010,259.6043701171875,819,15
150290,2000,2010,468.0065612792969,582,15
150293,2000,2010,1031.925537109375,1147,15
150307,2000,2010,574.81170654296875,680,15
150310,2000,2010,534.46014404296875,768,15
150320,2000,2010,630.859375,482,15
150330,2000,2010,1125.2222900390625,1430,15
150340,2000,2010,177.3783721923828,80,15
150350,2000,2010,673.0819091796875,556,15
150360,2000,2010,4215.4228515625,3974,15
150390,2000,2010,466.3811950683594,1056,15
150400,2000,2010,358.3582458496094,643,15
150405,2000,2010,783.11346435546875,1336,15
150410,2000,2010,108.77519989013672,186,15
150420,2000,2010,4038.5166015625,4398,15
150430,2000,2010,372.5270080566406,795,15
150440,2000,2010,237.22213745117188,476,15
150450,2000,2010,325.1690368652344,555,15
150460,2000,2010,512.64666748046875,624,15
150480,2000,2010,1456.8875732421875,1548,15
150490,2000,2010,358.6863098144531,828,15
150500,2000,2010,211.7106170654297,73,15
150510,2000,2010,1055.2833251953125,1203,15
150520,2000,2010,585.07684326171875,714,15
150530,2000,2010,2036.2701416015625,2143,15
150540,2000,2010,2169.5390625,2906,15
150543,2000,2010,371.31927490234375,542,15
150550,2000,2010,2411.17041015625,2699,15
150553,2000,2010,2527.095703125,2783,15
150560,2000,2010,149.56155395507812,42,15
150570,2000,2010,251.0973663330078,429,15
150580,2000,2010,916.36346435546875,1766,15
150600,2000,2010,532.5166015625,784,15
150610,2000,2010,491.5671081542969,359,15
