espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
75,98;1,61;14,34;37,14;10,83;0,56;1570,51;1,6;83,59;0,9;30,82;3,75;5,71;81,86;7,61;100;100;0,17;0;2294;2152;3315;3966;4440;4440;0;0,806
75,89;1,97;14,47;46,81;9,72;0,44;664,58;2,84;62,42;6,44;61,76;4,23;11,72;97,83;18,06;99,91;99,39;1,4;0,61;19977;19869;20838;33384;39723;39708;0;0,738
73,34;1,81;18,76;48,63;9,64;0,42;463,38;0,22;63,7;2,76;18,1;11,55;18,26;75,89;11,96;97,47;99,46;0;0,54;1245;1191;1323;2077;2387;2377;1;0,653
74,79;2,11;16,24;48,51;11,92;0,44;629,81;1,69;74,47;1,11;22,42;3,21;13,22;93,06;10;97,55;99,67;1,34;0,33;2498;2340;3111;4177;4830;4811;1;0,714
78,34;1,35;10,95;38,32;9,02;0,42;958,15;3,85;65,44;1,19;71,09;2,04;5,58;81,52;9,51;98,63;100;0,79;0;5487;5435;6392;9768;10871;10871;0;0,754
73,01;2,25;19,38;49,22;9,97;0,47;791,78;1,2;68,99;1,99;13,29;7,51;9,88;93,7;8,35;82,88;99,7;2,96;0,3;2793;2758;3346;4849;5514;5495;1;0,692
73,18;1,85;19,06;43,54;10,07;0,43;784,32;4,53;73,06;2,68;43,71;3,76;10,44;80,68;7,67;99,06;100;0,16;0;3772;3598;4657;6375;7318;7304;0;0,744
72,68;2,38;20;54,36;11;0,5;427,12;1,56;71,95;0,41;14,02;3,84;8,48;94,65;15,08;95,39;97,86;3,51;2,14;2040;1921;2395;3329;3944;3776;1;0,654
77,82;1,97;11,65;43,39;11,4;0,55;1011,21;3,31;64,88;3,15;57,17;5,26;9,4;75,29;8,31;100;100;0;0;2189;2112;2441;3763;4284;4284;0;0,784
76,16;2,47;14,06;47,58;9,13;0,4;730,38;1,83;68,71;2,11;61,71;0,15;14,32;83,07;21,14;97,55;100;0,44;0;5322;5078;5869;8543;10353;10353;1;0,700
74,12;2,79;17,38;51,87;9,56;0,52;610,94;1,32;54,9;7,64;58,3;4,79;18,47;94,88;21,27;98,83;98,78;2,05;1,22;7849;7908;7143;13013;15716;15562;1;0,698
74,99;1,84;15,92;40,95;11,44;0,38;644,48;1,42;85,9;1,13;15,96;7,25;10,44;89,61;9,85;98,31;99,7;3;0,3;1236;1146;1805;2101;2380;2373;1;0,727
75,55;1,68;15;38,68;11,51;0,32;731,43;3,03;82,87;0,69;17,98;6,76;9,68;70,55;10,16;100;100;0,28;0;1092;973;1536;1854;2053;2053;0;0,757
73,38;1,67;18,69;44,65;10,79;0,39;630,29;1,14;69,21;1,59;28;3,87;16,49;92,46;9,5;99,7;99,94;0,68;0,06;4050;4004;4786;6915;7984;7941;1;0,705
74,01;1,99;17,58;44,91;10,47;0,48;421,9;0,2;59,45;0,17;9,24;5,6;8,2;88;13,68;98,06;100;3,59;0;4700;4067;4451;7488;8745;8193;1;0,669
72,45;2,1;20,44;52,02;11,77;0,56;572,73;0,45;73,35;1,15;7;6,68;9,7;92,63;7,87;98,6;99,9;0,51;0,1;1493;1403;1833;2499;2889;2674;1;0,682
73,68;1,54;18,15;44,62;10,91;0,46;756;0,18;64,6;0,76;18,19;10,31;9,05;97,22;6,91;100;100;1,27;0;754;711;827;1281;1465;1465;1;0,728
78,4;1,6;10,86;39,06;10,94;0,38;867,13;4,01;66,22;3,29;52,25;6,52;13,58;84,5;10,66;99,74;100;0;0;9984;9839;11534;17418;19714;19714;0;0,781
74,34;2,31;17;50,34;10;0,45;465,1;0;70,37;0;12,17;9,05;7,41;81,85;15,35;89,63;98,64;28,44;1,36;1407;1270;1608;2285;2669;2623;1;0,677
77,25;1,65;12,45;40,08;10,39;0,49;923,29;3,3;65,66;4,84;65,44;3,96;7,69;98,79;10,23;99,9;99,95;0,01;0,05;37239;37562;41959;63909;74503;74459;0;0,782
76,61;1,57;13,38;46,59;9,14;0,47;745,72;2;78,16;0,22;23,49;2,95;16,35;69,51;6,29;100;100;0;0;1551;1457;2097;2683;2981;2951;0;0,731
77,01;1,79;12,79;38,31;10,69;0,46;924,02;2,05;73,33;2,3;37,63;6,26;11,12;93,09;7,85;98,44;99,52;2,33;0,48;5171;5120;6631;9042;10246;10236;0;0,769
73,74;2,53;18,05;43,12;8,82;0,44;507,73;1,39;47,76;8,19;55,29;8,82;13,78;96,41;15,27;98,66;99,64;0,9;0,36;2850;2162;2047;4287;4312;4306;1;0,665
76,66;2,01;13,31;45,01;11,44;0,58;956,19;2,89;66,86;2,97;36,54;3,64;14,85;90,96;12,89;92,32;99,81;6,07;0,19;4780;4711;5499;8226;9418;9412;0;0,765
