espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
76,17;2;14,04;41,73;11,04;0,45;827,2;4,01;66,33;4,26;49,77;3,98;15,64;97,1;12,42;99,57;99,97;1,92;0,03;30138;31172;34841;52530;60793;60722;0;0,760
77,92;2,01;11,52;43,65;10,88;0,44;814,95;4,22;70,55;1,25;47,74;1,56;11,97;82,27;9,96;99,03;100;0,18;0;3924;3829;4753;6738;7735;7735;0;0,770
77,38;1,49;12,27;38,16;9,56;0,45;1029,14;3,39;70,6;2,32;40,22;5,52;11,91;83,27;4,16;99,89;99,93;0,23;0,07;1747;1755;2225;3152;3492;3483;0;0,764
75,5;1,88;15,09;42,46;12,01;0,36;675,6;1,22;82,57;0,89;20,11;8,37;12,34;79,17;14,43;100;99,92;1,43;0,08;1229;1031;1623;1965;2246;2219;1;0,715
77,08;1,69;12,7;40,08;10,12;0,35;793,09;2,35;66,31;1,37;68,78;2,96;4,3;95,04;10,17;99,56;100;0;0;3680;3732;4293;6474;7384;7384;0;0,742
73,1;1,55;19,2;42,12;8,77;0,44;781,32;3,24;73,34;0,1;34,47;2,33;6,18;90,91;5,42;98,83;100;0,19;0;1661;1639;2113;2882;3284;3279;0;0,733
77,21;1,75;12,5;44,91;11,02;0,4;841,85;0,42;72,72;1,1;25,98;2,43;12,62;72,13;11,21;98,66;99,91;0,29;0,09;2824;2725;3494;4804;5547;5489;0;0,733
76,49;2,14;13,55;45,73;10,1;0,53;866,42;2,01;55,54;6,81;37,81;4,07;13,9;99,61;15,35;99,9;99,94;0;0,06;4743;4843;4584;8254;9553;9553;0;0,746
78,62;1,31;10,25;34,68;10,47;0,52;1625,59;5,98;66,88;4,94;51,69;4,42;10,01;99,03;14,8;99,94;100;0,01;0;51393;56696;64289;96124;107149;107149;0;0,845
75,64;2,55;14,86;50,91;9,81;0,41;676,33;3,28;48,2;4,86;32,45;7,36;16,45;98,93;13,49;99,61;99,53;0,22;0,47;4172;4258;3541;7345;8421;8417;1;0,716
75,62;2,12;14,9;49,33;10,26;0,47;768,73;3,99;58,25;5,68;32,17;7,11;17,93;98,65;11,34;99,31;100;0,08;0;4092;4142;4119;7070;8177;8171;1;0,728
72,68;2,48;20;48,87;9,14;0,4;534,25;0,55;64,7;1,12;24,72;0,59;20,02;90,43;20,56;89,33;99,78;2,06;0,22;1535;1371;1650;2550;2901;2887;1;0,672
74,79;1,88;16,24;49,76;11,28;0,4;594,28;0;71,09;0;13,67;4,58;10,3;93,93;12,26;100;100;3,02;0;976;902;1166;1641;1872;1870;1;0,701
76,42;2,36;13,66;48,73;9,99;0,44;773,05;3,33;57,49;5,76;44,16;4,03;13,7;98,63;18,24;98,8;99,67;1,97;0,33;11103;11283;10940;19031;22307;22307;0;0,738
74,58;2,03;16,59;47,3;11,14;0,46;389,28;0,36;58,99;1,83;17,1;0,65;16,47;96,55;18,85;82,64;99,79;5,35;0,21;3104;2900;2982;5055;5982;5638;1;0,675
74,17;1,94;17,29;47,87;11,28;0,45;620,67;1,22;74,68;2,41;18,5;7,78;12,73;89,38;23,13;93,77;100;1,26;0;1358;1277;1694;2268;2613;2613;1;0,705
77,08;1,71;12,7;42,43;9,44;0,36;717,89;1,08;66,87;1,54;65,16;1,31;7,64;82,42;9,68;97,78;100;0,11;0;5280;5056;5999;8972;10313;10313;0;0,740
75,17;1,69;15,62;40,66;10,07;0,39;764,37;1,58;61,88;3,93;60,06;5,17;13,04;85,61;16,81;99,57;99,68;0,07;0,32;28665;29541;30856;49863;58014;58014;0;0,739
78,64;1,47;10,08;35,53;9,97;0,46;1253,17;3,67;68,74;2,92;68,19;3,18;6,18;97,89;11,6;99,88;99,97;0,5;0,03;151542;157469;186376;271115;306393;306361;0;0,806
71,05;2,56;23,25;47,6;8,37;0,41;434,87;1,59;54,89;2,89;20,86;14,59;18,78;70,54;7,73;97,32;97,74;4,53;2,26;1700;1590;1557;2835;3280;3255;1;0,647
76,86;2,03;13,01;40,13;10,44;0,44;865,15;5,37;63,64;5,51;42,09;7,28;17,01;93,26;14,67;100;99,86;0;0,14;7194;7099;7798;12253;13975;13975;0;0,781
75,12;2,17;15,7;47,38;9,59;0,57;665,6;2,28;54,25;4,53;35,76;8,29;20,28;79,2;8,65;99,42;99,93;0,07;0,07;2253;2142;2059;3795;4368;4325;1;0,696
74,59;2,08;16,57;44,92;8;0,55;798,97;0,38;60,54;2,79;48,76;1,88;11,6;94,13;14,1;99,29;99,64;13,13;0,36;1253;1273;1319;2178;2522;2512;1;0,718
74,82;1,89;16,19;45,73;10,33;0,39;728,09;2,01;81,69;1,2;11,05;7,56;5,09;95,68;6,07;100;100;0,16;0;1078;1054;1520;1860;2130;2130;1;0,712
77,13;2,38;12,62;51,41;9,05;0,46;638,85;2,28;65,99;4;42,96;6,07;18,56;90,47;13,19;97,21;99,07;0;0,93;4513;4429;4936;7479;8877;8874;1;0,699
75,87;1,38;14,5;36,71;10,53;0,28;805,77;2,67;73,15;2,02;56,91;1,06;5,6;82,96;7,69;100;100;0;0;2278;2190;2919;3991;4451;4449;1;0,724
77,83;1,82;11,64;40,74;10,74;0,41;831,77;3,97;70,41;2,81;58,68;1,41;12,03;94,72;8,81;98,72;100;1,3;0;14533;14485;17532;24899;28879;28879;0;0,778
77,99;2,08;11,42;44,04;10,49;0,36;941,12;1,75;74,56;1,29;50,63;3,31;7,99;94,91;8;100;100;0;0;1765;1692;2210;2964;3371;3371;0;0,780
74,12;1,94;17,38;50;10,21;0,47;446,48;0,62;61,75;3,43;19,18;5,66;13,09;80,11;9,49;98,89;98,8;0,33;1,2;1452;1398;1509;2444;2850;2796;1;0,661
78,64;1,48;10,08;34,34;10,18;0,4;1116,93;3,94;70,04;2,13;69,35;1,26;6,07;96,33;11,54;99,66;99,92;0,18;0,08;52400;53103;64626;92264;104887;104887;0;0,795
77,65;2,35;11,89;46,25;9,83;0,48;744,28;2,57;60,42;5,82;66,11;4,56;8,59;95,77;17,64;99,42;99,69;0,57;0,31;35040;35722;36017;59611;70361;70094;0;0,735
74,82;1,56;16,2;43,06;9,46;0,44;783,57;2,44;74,69;1,23;29,41;2,42;14,22;82,92;8,34;96,07;99,74;0,36;0,26;3142;3077;4078;5460;6153;6110;1;0,728
71,75;3,32;21,8;62,55;9,72;0,42;373,86;1,39;60,11;2,92;43,04;12,16;16,5;89,64;32,08;99,44;99,05;3,9;0,95;1749;1638;1615;2687;3387;3378;1;0,622
76,98;1,99;12,84;43,92;9,15;0,4;781,76;2,45;65,41;4,32;61,09;3,42;11,47;97,15;26,21;99,86;100;0,28;0;31159;31202;34084;52109;62149;62149;1;0,726
72,74;2,29;19,89;50,85;9,37;0,51;550,84;1,1;63,39;5,08;36,4;7,8;16,35;73,38;12,96;98,61;99,78;0,35;0,22;1431;1322;1511;2383;2753;2706;1;0,654
75,69;1,81;14,79;48,1;9,35;0,41;539,9;1,82;64,64;4,11;45,12;2,79;16,37;90,15;15,99;99,51;99,95;1,04;0,05;5970;5778;6448;9976;11683;11630;1;0,714
71,05;2,05;23,25;49,93;8,95;0,46;450,29;1,19;62,56;3,31;26,6;4,15;25,17;89,37;12,49;99,73;97,61;2,14;2,39;3850;3633;3982;6366;7418;7392;1;0,641
72,21;2,16;20,91;52,33;11,37;0,51;631,08;3,13;66,41;5,02;24,7;11,12;19,19;93,27;16,57;95,6;98,42;5,1;1,58;4686;4684;5234;7881;9319;9276;1;0,690
76,64;2,13;13,34;46,2;10,03;0,46;708,77;4,64;61,26;4,67;48,1;6,42;16,12;95,59;15,06;99,36;99,92;1,69;0,08;16257;16567;17073;27869;32596;32504;0;0,742
76,89;2;12,97;44,87;8,3;0,44;721,27;1,22;55,17;1,53;55,82;2,07;13,67;89,19;18,42;98,43;100;0;0;5372;5231;4941;8957;10584;10471;1;0,697
77,42;2,04;12,21;44,95;10,65;0,49;692,87;2,69;58,01;5,19;51,14;2,91;13,57;96,01;15,61;98,81;99,37;1,19;0,63;26044;26721;26090;44973;52405;52266;0;0,757
77,11;1,87;12,65;41,54;9,27;0,45;811,66;2,3;65,08;4,24;66,19;2,33;10,3;94,93;8,05;99,77;99,98;0,51;0,02;10233;10536;11590;17809;20648;20628;0;0,752
77,19;1,69;12,54;40,25;9,32;0,36;723,04;1,46;60,5;4,48;63,1;6,88;11,55;97,86;14,08;99,81;100;0;0;10499;11175;11318;18709;21618;21618;0;0,767
73,38;2,23;18,7;45,43;9,49;0,47;717,59;3,48;61,25;4,05;60,78;3,61;14,63;96,75;16,93;99,04;99,58;0,63;0,42;4763;4792;4952;8085;9517;9512;1;0,714
77,21;1,83;12,51;44,62;8,5;0,5;730,36;0,35;75,49;1,99;23,07;3,71;19,55;82,22;15,86;99,21;98,44;1,66;1,56;2219;2192;2929;3881;4411;4366;1;0,691
74,53;1,66;16,68;45,08;9,79;0,39;458,62;1,82;57,81;0,14;19,72;14,47;9,34;90,49;11,23;100;99,77;0;0,23;1395;1376;1395;2413;2767;2763;1;0,719
74,75;2,05;16,3;52,45;7,86;0,55;414,6;1,02;63,42;3,59;14,02;7,45;14,4;82,64;7,95;97,82;100;4,38;0;1873;1708;1947;3070;3573;3492;1;0,621
74,95;2,07;15,99;49,95;9,92;0,43;549,08;0,08;76,88;0;10,52;6,27;6,59;69,62;11,07;96,37;100;0,26;0;1425;1337;1779;2315;2754;2706;1;0,704
77,25;1,82;12,45;38,73;10,75;0,48;1017,34;3,87;69,65;4,78;62,68;4,84;9,06;92,46;11,67;99,65;99,75;0,65;0,25;90626;92904;110006;157949;181705;181670;0;0,790
76,52;1,34;13,51;33,83;10,25;0,37;833,24;4,36;63,63;4,88;62,35;1,81;11;98,49;9,36;99,82;100;1,07;0;7523;7636;8511;13376;15155;15155;0;0,780
77,33;1,51;12,34;39,69;10,46;0,46;1009,49;4,17;69,76;2,96;54,44;3,09;8,77;95,97;7,65;99,72;99,72;0,26;0,28;33771;34850;41928;60101;68285;68171;0;0,800
76,32;1,39;13,81;35,5;10,51;0,39;773,44;2,65;69,51;3,69;47,16;4,91;7,7;59,21;9,05;85,8;100;0,21;0;1921;1846;2310;3324;3765;3765;0;0,747
76,59;1,71;13,41;40,73;11,73;0,4;759,01;0,38;68,59;2,15;40,5;2,02;12,08;92,68;9,55;97,88;99,62;4,01;0,38;5189;5024;6154;8972;10192;10187;0;0,744
73,93;1,89;17,71;46,57;11,93;0,44;543,22;0,26;58,39;1,55;19,04;5,29;13,66;79,27;10;99,14;98,33;3,1;1,67;1262;1196;1259;2157;2455;2396;1;0,696
77,39;1,8;12,25;42,7;10,29;0,46;951,63;2,14;65,04;2,5;57,7;0,32;9,91;91,85;9,88;99,12;99,9;3,18;0,1;7002;6850;7786;11972;13808;13793;0;0,780
73,21;2,09;19;46,84;9,84;0,49;628,18;1,46;54,59;8,76;52,11;4,58;14,27;94,66;13,1;98,72;99,55;0,22;0,45;7376;7409;6865;12575;14557;14517;1;0,702
75,76;1,42;14,48;36,87;10,49;0,48;1062,53;4,55;64,74;4,86;61,34;3,15;11,9;97,84;11,49;99,56;99,98;0,34;0,02;94607;97701;108388;167414;190535;190503;0;0,788
73,24;1,42;18,94;41,52;11,27;0,38;821,86;1,53;77,03;2,32;33,5;4,46;12,04;93,63;11,22;98,47;99,43;1,17;0,57;5258;5355;7227;9382;10566;10566;0;0,742
78,17;1,87;11,17;38,89;11,4;0,46;1009,05;2,01;82,6;0,23;20,37;5,64;8,37;93,28;8,06;95,02;99,92;0;0,08;1004;878;1378;1668;1871;1868;0;0,754
75,78;2,41;14,65;49,97;10,61;0,51;687,47;2,73;56,44;5,64;50,78;5,66;18,86;86,75;15,06;98,29;99,55;1,41;0,45;18521;19227;17939;31783;37460;37343;1;0,721
76,22;1,57;13,97;42,05;10,79;0,43;804,31;2,91;78,13;2,69;23,56;5,28;9,81;89,13;10,71;94,86;99,53;5,01;0,47;4356;4278;5991;7668;8616;8589;0;0,743
74,17;1,96;17,29;52,53;10,77;0,53;636,41;1,01;56,13;4,15;27,32;5,91;20,77;95,2;19,93;96,15;97,24;4,67;2,76;7414;7397;7054;12568;14753;14634;1;0,706
76,71;2,31;13,24;47,8;10,66;0,46;918,49;3,73;80,57;0,95;38,06;4,1;7,83;92,84;6,91;99,25;100;0;0;1909;1812;2558;3175;3697;3686;0;0,742
75,55;1,95;15;49,28;8,96;0,34;679,44;6,66;63,55;1,05;59,63;5,76;3,93;76,78;8,86;97,91;100;0,69;0;1794;1810;1976;3109;3598;3598;1;0,716
73,46;2,61;18,54;61,05;10,51;0,44;423,63;0,15;59,7;0,69;29,08;13,46;9,89;82,92;34,43;80,85;96,78;19,69;3,22;1557;1461;1478;2477;3018;3004;1;0,657
73,5;1,93;18,47;45,39;10,88;0,4;655,45;1,33;69,54;3,92;23,17;8,87;19,45;94,46;7,55;98,78;100;0,1;0;1066;984;1233;1774;2024;2024;1;0,726
77,07;1,77;12,71;45,64;11,31;0,47;780,33;3,84;58,6;4,05;46,14;5,24;9,28;88,63;9,22;95,78;99,78;0,23;0,22;2148;2204;2237;3817;4345;4345;1;0,723
76,78;1,89;13,13;44,89;10,42;0,49;828,49;3,64;63,44;2,82;58,19;1,27;11,76;88,03;8,2;99,43;99,96;0;0,04;5357;5304;5750;9064;10654;10619;0;0,758
72,52;1,98;20,3;46,22;10,66;0,48;778,06;1;80,28;0,43;13,95;9,84;9,62;98,39;12,42;100;98,93;3,69;1,07;827;761;1108;1380;1585;1563;1;0,708
77,35;1,23;12,14;34,08;10,79;0,54;1798,12;4,15;64,67;5,31;53,47;10,61;10,72;96,35;11,59;99,84;99,96;0,08;0,04;203047;218193;241855;373988;417579;417546;0;0,847
75,71;1,54;14,76;46,87;10,12;0,42;744,5;0,17;62,2;0,23;21,76;7,45;10,86;83,4;10,96;100;100;0,67;0;1327;1274;1420;2283;2597;2597;1;0,715
76,64;1,87;13,34;40,06;10,13;0,46;870,85;0,56;69,41;3,89;62,72;0,23;11,56;96,87;13,5;99,18;99,86;0,14;0,14;11307;11241;13365;19256;22503;22503;0;0,753
76,58;2,5;13,43;47,37;10,15;0,48;673,84;3,81;58,08;6,8;65,77;3,99;9,48;92,28;17,84;99,63;99,96;0,54;0,04;17161;17392;16821;28959;34481;33830;0;0,731
73,74;2,25;18,05;49,13;11,06;0,51;498,33;0,31;55,17;0,87;11,28;18,32;11,93;71,93;14,69;86,3;99,35;5,56;0,65;1288;1186;1181;2141;2474;2472;1;0,682
73,91;1,99;17,74;48,06;10,71;0,45;638,12;1,25;62,44;3,48;20,2;12,56;12,78;93,2;10,51;96,74;99,35;1,66;0,65;1720;1752;1868;2992;3472;3468;1;0,708
77,07;1,7;12,7;41,45;10,89;0,45;784,88;4,4;60,14;5,96;39,74;4,81;17,17;90,53;11,48;99,62;99,96;0;0,04;9127;9011;9497;15790;18025;17990;0;0,753
74,82;2,48;16,2;49,09;10,05;0,44;691,98;3,46;64,52;2,74;51,72;3,84;16,43;85,17;20,63;99,03;99,94;0,47;0,06;7540;7221;7901;12247;14649;14645;1;0,725
78,34;1,48;10,95;37,21;9,47;0,37;964,36;3,64;68,19;2,17;62;1,53;9,62;97,17;12,37;99,8;99,99;0,57;0,01;28678;29303;34270;50253;57615;57615;0;0,765
77,21;1,53;12,51;38,33;10,68;0,43;784,5;2,65;61,78;4,91;54,38;5,85;12,42;94,12;11,73;99,59;99,92;0,62;0,08;6641;6358;7072;11447;12973;12973;0;0,747
75,76;1,88;14,68;40,09;11,01;0,43;845,01;8,92;77,35;2,45;31,95;4,51;7,62;82,92;8,51;99,4;100;6,73;0;3235;2988;4198;5428;6215;6215;0;0,736
77,64;1,7;11,9;42,16;10,98;0,4;730,8;3,57;61,33;2,4;58,77;3,56;14,35;69,56;8,64;99,7;100;0,87;0;5286;5349;5725;9335;10607;10589;0;0,757
77,53;1,41;12,06;35,78;9,67;0,34;851,75;2,62;66,54;1,97;65,41;1,53;11,76;92,09;11,05;99,28;99,82;0,58;0,18;9351;9079;10722;16114;18414;18414;0;0,754
77,28;1,36;12,41;40,48;10,56;0,47;873,67;3,07;76,9;2,33;27,29;3,85;15,09;88,68;9,61;94,5;100;1,42;0;5300;5198;7215;9382;10423;10391;0;0,751
78,08;1,75;11,29;39,61;9,52;0,38;842,24;2;62,67;6,1;72,99;0,45;7,12;96,68;15,36;99,17;100;6,23;0;17840;17332;18750;29918;35135;35047;0;0,751
75;1,91;15,89;42,51;10,53;0,4;759,66;3,44;68,5;5,31;29,81;7,24;19,29;97,3;9,26;97,81;99,74;0,87;0,26;2401;2507;2981;4353;4892;4892;0;0,730
74,37;2,45;16,95;44,47;10,05;0,45;687,32;0,72;62,83;2,28;44,51;4;16,27;86,71;17,86;97,33;99,65;1,19;0,35;2471;2208;2531;4028;4676;4670;1;0,717
76,51;1,9;13,53;41,57;10,09;0,42;799,29;2,24;62,21;3,54;63,9;3,93;7,84;95,87;14,33;99,85;99,85;0,12;0,15;10497;10742;11455;18413;21164;21150;0;0,758
74,2;1,74;17,25;40,29;10,25;0,46;786,22;2,3;68,63;1,21;27,97;4,66;11,45;94,72;7,9;98,19;99,64;0;0,36;981;964;1172;1707;1939;1939;1;0,725
74,53;1,87;16,67;46,4;10,38;0,43;768,67;3,74;63,62;3,47;33,85;5,09;10,6;91,55;5,39;100;100;0;0;1775;1598;1883;2960;3370;3363;1;0,708
75,87;2,02;14,5;44,44;10,04;0,37;844,25;5,01;69,5;1,74;57,07;5,8;10,22;95,72;8,45;98,82;99,91;0,31;0,09;8666;8664;10364;14911;17276;17276;0;0,737
76,67;1,79;13,29;39,48;10,11;0,4;759,54;2,99;62,61;4,22;57,09;1,91;12,22;96,44;12,77;96,54;100;0,5;0;29303;29530;31792;50780;58666;58666;0;0,741
77,95;2,16;11,47;44,06;10,68;0,38;853,29;2,54;65,96;2;58,82;3,33;11,5;86,58;13,81;99,93;100;8,82;0;6227;6128;6936;10516;12345;12340;0;0,738
75,01;1,96;15,89;51,05;9,25;0,45;516,73;2,66;46,23;4,45;32,49;5,25;15,05;71,72;13,55;92,48;99,58;0,81;0,42;5865;5807;4750;10274;11654;11522;1;0,667
77,09;1,61;12,68;42,19;10,8;0,45;768,81;4,38;55,66;5,51;48,94;3,1;14,96;93,26;14,7;98,26;99,9;1,18;0,1;19805;20365;19524;35079;39714;39703;0;0,765
75,38;2,37;15,27;45,84;9,49;0,47;688,57;3,21;68;0,66;17,63;6,3;21,44;88,7;11,02;96,98;100;0,16;0;2890;2817;3265;4801;5642;5614;1;0,713
77,39;1,98;12,25;39,36;9,71;0,39;945,33;4,22;72,92;2,22;67,12;2,11;5,61;96,78;12,95;99,15;99,96;0,27;0,04;27431;27423;34304;47045;54716;54716;0;0,777
78,44;1,66;10,82;45,03;10,43;0,33;873,9;0,26;68;0,25;37,66;6,52;7,45;94,48;4,64;100;100;0;0;1393;1346;1654;2433;2722;2722;0;0,795
75,25;1,68;15,48;46,67;10,97;0,45;725,68;3,02;71,45;0,76;33,38;2,35;12,45;92,27;4,39;99,88;99,93;0,34;0,07;2366;2386;3002;4202;4722;4712;0;0,736
75,81;1,73;14,6;42,01;11,66;0,43;815,06;1,57;77,28;1,6;32,48;3,89;8,68;94,61;6,33;98,31;100;1,76;0;4258;4151;5665;7331;8393;8376;0;0,759
72,4;3,08;20,53;64,01;9,72;0,61;530,81;0;50,47;2,2;41,67;2,33;15,48;58,41;43,65;97,93;94,18;14,43;5,82;3473;3325;2743;5434;6792;6637;1;0,660
76,18;1,63;14,03;40,83;9,71;0,42;837,81;1,71;70,18;1,02;42,9;2,63;6,31;83,66;10,31;100;99,9;0,19;0,1;3665;3555;4464;6361;7120;7120;0;0,738
75,71;1,54;14,76;48,55;11,23;0,43;663,24;0,52;76,98;1,05;16,7;4,87;8,83;87,64;12,92;87,15;100;2,41;0;2172;2081;2852;3704;4241;4197;1;0,722
75,84;2,14;14,55;44,94;10,27;0,42;686,25;2,45;68;4,88;45,05;7,23;12,84;91,69;13,7;99,32;99,57;0,27;0,43;4850;4681;5520;8117;9470;9458;0;0,742
75,15;1,81;15,65;44,25;11,07;0,45;601,25;0;57,68;0,51;29,82;6,32;16,77;97,28;8,48;97,71;99,58;0,53;0,42;1072;1024;1062;1840;2096;2071;1;0,707
75,17;2,04;15,61;50,35;10,23;0,54;708,34;1,92;65,11;2,01;17,4;5,73;14,9;90,74;24,57;96,16;98,49;3,02;1,51;5346;5102;5734;8807;10364;10216;1;0,699
77,73;2,12;11,78;43,44;11,12;0,45;836,69;2,61;70,39;1,8;39;6,1;11,62;87,35;5,6;99,24;99,76;0,37;0,24;3218;3208;3924;5575;6396;6382;0;0,771
75,17;2,15;15,61;50,6;9,38;0,49;625,36;1,48;66,72;2,9;29,21;3,74;12,13;93,43;19,71;98,86;99,52;2,9;0,48;10409;9892;11270;16892;20280;19965;1;0,708
78,02;2,05;11,45;39,2;10,3;0,45;1014;3,57;66,02;5,02;60,31;4,29;10,18;97,93;18,65;99,86;99,92;0,16;0,08;90111;93262;104013;157549;182637;182580;0;0,795
77,86;1,76;11,59;39,88;9,73;0,49;1078,48;5,71;62,52;6,12;49,15;2,37;14,5;93,67;16,53;99,95;99,83;0,28;0,17;22391;23406;24712;39525;45573;45573;0;0,796
75,5;1,67;15,09;40,57;11,59;0,45;942,44;3,25;70,38;1,86;50,32;4,21;9,54;96,22;10,09;99,21;99,97;0,73;0,03;7858;7551;9424;13391;15363;15346;0;0,775
77,41;2,36;12,22;46,3;10,17;0,47;793,24;3,36;59,56;5,52;31,17;8,14;15,82;97,35;17,58;99,37;99,5;0,38;0,5;7447;7316;7555;12684;14685;14685;0;0,761
77,58;2,01;11,98;42,95;9,05;0,43;844,05;3,31;73,1;1,52;36,15;5,79;9,75;90,25;10,74;96,17;100;0,57;0;11095;11155;13902;19017;22157;22157;0;0,748
73,06;1,63;19,27;42,99;11,61;0,45;831,84;1,48;69,96;1,58;29,96;1,87;11,88;74,31;7,89;98,76;100;0;0;2013;2028;2502;3577;4041;4014;0;0,732
74,06;1,69;17,48;43,31;10,07;0,43;655,7;2,66;66,67;3,35;30,41;5,04;14,29;83,67;11,34;99,18;99,96;1,81;0,04;5262;5347;6146;9218;10609;10580;1;0,716
74,8;1,92;16,22;42,89;9,71;0,39;701,05;2,15;61,46;3,07;46,78;2,63;11,62;97,56;9,63;97,87;100;0,19;0;8625;8665;9264;15073;17280;17271;1;0,721
76,92;1,61;12,03;35,15;10,5;0,42;1111,85;2,56;71,34;2,93;72,84;2,02;6,5;97,98;10,62;99,98;100;0,49;0;71801;71322;88485;124036;142186;142117;0;0,803
74,37;1,54;16,96;44,16;12,7;0,4;654,02;1,7;71,04;2,57;20,22;13,83;8,45;93,84;9,55;100;99,93;0,57;0,07;900;866;1112;1566;1764;1759;1;0,709
78,44;1,65;10,82;38,84;10,85;0,54;1338,5;8,37;70,12;5,49;58,57;4,37;7,44;97,25;8,63;99,4;100;0;0;13008;14012;16643;23735;26807;26807;0;0,827
78,34;1,78;10,97;37,62;10,02;0,49;1126,74;3,47;65,5;5,02;66,78;3,35;9,03;98,16;13,32;99,92;99,93;0,34;0,07;255756;259532;292112;445974;512406;512304;0;0,809
75,44;2,36;15,18;56,27;10,88;0,44;580,97;2,92;65,52;2,2;31,73;10,14;5,52;89,52;22,01;100;99,77;0,26;0,23;2392;2329;2569;3921;4718;4688;1;0,694
76,71;2,2;13,23;49,27;10,6;0,55;654;0;60,99;2,85;20,64;9,57;8,33;94,06;8,46;91,49;98,41;1,56;1,59;1094;1054;1124;1843;2144;2111;1;0,719
77,97;1,67;11,44;45,63;12,28;0,39;925,08;3,42;69,61;1,67;30,89;5,85;7,62;72,11;5,9;99,49;100;0;0;1096;1103;1351;1941;2195;2195;0;0,781
77,04;1,68;12,62;44,56;10,18;0,54;878,34;2,91;58,04;7,18;54,16;7,14;15,46;98,84;16,56;99,14;99,58;0,16;0,42;75952;80775;77940;134278;156106;155974;0;0,770
77,27;1,85;12,42;43,83;10,77;0,44;684,42;2,43;54,55;6,28;46,21;5,23;16,41;87,13;12,34;98,94;99,98;0,87;0,02;25305;26257;24552;45006;51471;51334;0;0,752
76,45;1,94;13,62;40,04;11,16;0,44;850,34;1,69;61,95;1,06;32,82;4,75;10,13;76,47;4,88;98,85;98,94;0,32;1,06;756;734;821;1326;1487;1475;0;0,771
76,28;1,36;13,88;37,9;9,43;0,36;810,58;6,25;71;1,04;49,3;6,25;7,62;92,05;6,73;98,99;100;0,3;0;3001;3003;3745;5275;5953;5953;0;0,749
74,32;2,1;17,04;42,18;9,75;0,37;678,67;1,39;55,84;4,7;66,7;1,56;12,37;84,91;9,06;98,89;100;0,71;0;7187;7180;6899;12354;14319;14319;0;0,735
73,38;3,1;18,7;56,48;9,11;0,45;409,05;1,37;57,96;3,97;45,29;2,9;12,96;91,15;22,44;99,26;98;0,91;2;6081;5757;5610;9679;11825;11758;1;0,649
74,06;2,24;17,48;44,12;8,27;0,49;800,32;1,27;69,5;6,39;9,17;10,02;8,05;77,25;8,39;99,08;100;0,6;0;1754;1611;2006;2886;3328;3199;1;0,686
76,89;1,4;12,96;42,48;9,46;0,43;836,32;1,36;70,15;0,38;31,88;3,25;43,19;95,61;20,52;100;99,41;0,73;0,59;2393;2249;2860;4077;4628;4607;0;0,743
74,2;2;17,25;46,28;9,63;0,37;773,05;1,85;70,6;1,33;56,54;3,25;6,79;94,29;11,32;98,07;100;0;0;5126;5118;6186;8761;10244;10182;1;0,704
77,17;1,86;12,57;42,67;8,84;0,44;937,32;2,49;71,42;2,31;56,43;0,3;13,18;81,58;11,19;98,96;100;0;0;5383;5055;6322;8851;10397;10392;0;0,737
77,59;1,36;11,98;41,06;11,45;0,43;1030,37;3,55;63,63;1,84;54,94;3,01;10,5;93,42;5,33;99,81;99,95;0;0,05;2740;2860;3232;5079;5593;5590;0;0,789
73,38;2,02;18,7;46,43;10,23;0,39;533,9;0,38;61,02;2,34;35,14;9,26;8,77;83,12;14,29;94,58;100;0;0;948;878;958;1569;1817;1817;1;0,662
77,82;1,76;11,66;44,35;11,38;0,49;789,53;2,62;64,94;4,47;46,65;5,19;11,49;95,52;14,23;96,73;99,68;1;0,32;26251;26661;29317;45143;52665;52275;0;0,777
74,06;1,63;17,48;46,51;8,56;0,52;789,61;0,83;66,78;0,6;28,98;9,54;4,48;77,37;11,8;96,24;98,75;0;1,25;1672;1607;1909;2858;3276;3215;1;0,698
74,01;1,88;17,58;48,1;9,66;0,46;465,76;0;56,49;1,21;21,64;4,13;14,74;95,84;20,4;97,08;99,23;4,86;0,77;3799;3680;3587;6350;7432;7329;1;0,690
76,63;1,9;13,35;42,53;11,51;0,5;861,85;2,05;65,68;5,02;52,43;3,77;12,77;98,19;9,19;99,07;100;0;0;3248;3156;3600;5481;6330;6330;0;0,768
78,17;1,53;11,17;41,38;9,59;0,45;896,02;4,47;70,59;3,2;50,11;4,84;9,93;92,66;9,37;99,2;99,97;0,1;0,03;10907;11194;13559;19208;21897;21897;0;0,781
76,7;1,9;13,25;43,48;11,66;0,41;840,58;1,28;64,65;0,28;21,39;2,98;10,93;51,95;6,83;100;100;0;0;1135;1068;1282;1984;2203;2203;0;0,743
77,04;1,48;12,76;40,98;10,76;0,34;847,63;2,37;72,56;1,88;55,09;2,5;5,77;94,1;8,49;99,4;99,88;3,37;0,12;7449;7225;9308;12828;14635;14635;0;0,774
74,83;2,44;16,18;55,39;9,66;0,45;402,83;0,9;64,23;5,2;25,43;15,13;17,85;90,64;20,68;95,65;98,81;4,36;1,19;1475;1364;1502;2339;2839;2820;1;0,657
